itemId,city,priceInterval,rating,type
12473065,Barcelona,$,45,"['Coffee & Tea', 'Cafe']"
8865574,Barcelona,$,35,"['Coffee & Tea', 'Cafe']"
23180066,Barcelona,,50,"['Cafe', 'European']"
23839941,Barcelona,,40,"['Coffee & Tea', 'Bar']"
25024127,Barcelona,,25,"['Coffee & Tea', 'Cafe']"
12446638,Barcelona,$,40,[]
11947364,Barcelona,$$ - $$$,40,"['Mediterranean', 'Spanish']"
5811120,Barcelona,,45,[]
23742553,Barcelona,$$ - $$$,45,['Spanish']
14996583,Barcelona,,50,['Asian']
25067237,Barcelona,,50,['Mediterranean']
1074448,Barcelona,$$$$,45,"['Catalan', 'International']"
2489499,Barcelona,$$ - $$$,45,"['Steakhouse', 'Mediterranean']"
13427914,Barcelona,$,30,"['Turkish', 'Middle Eastern']"
8738631,Barcelona,$$ - $$$,45,"['Bar', 'Mediterranean']"
1020220,Barcelona,$$ - $$$,35,"['African', 'Ethiopian']"
17377610,Barcelona,$$ - $$$,50,"['Mediterranean', 'European']"
25215284,Barcelona,,40,['Barbecue']
6706007,Barcelona,$$ - $$$,35,"['Spanish', 'Mediterranean']"
3163723,Barcelona,$$ - $$$,40,"['Mediterranean', 'European']"
4072188,Barcelona,$$ - $$$,40,"['Cafe', 'Spanish']"
8484958,Barcelona,$,45,"['Spanish', 'Cafe']"
17343591,Barcelona,$$ - $$$,30,"['Spanish', 'Argentinean']"
17854791,Barcelona,$$ - $$$,50,"['Brazilian', 'Cafe']"
23802349,Barcelona,,50,"['Brazilian', 'Cafe']"
11890879,Barcelona,$$ - $$$,45,['Street Food']
3607077,Barcelona,$$ - $$$,40,"['Cafe', 'Spanish']"
13980701,Barcelona,$$ - $$$,40,"['Mediterranean', 'Spanish']"
3636469,Barcelona,$$ - $$$,45,"['Italian', 'Pizza']"
12002631,Barcelona,,45,[]
5484914,Barcelona,$,40,"['Pakistani', 'Indian']"
17212925,Barcelona,$$$$,45,"['Mediterranean', 'Contemporary']"
25282527,Barcelona,$$ - $$$,50,"['American', 'Bar']"
3989627,Barcelona,$$ - $$$,40,"['Spanish', 'Mediterranean']"
8768268,Barcelona,$$ - $$$,45,"['Spanish', 'American']"
25323705,Barcelona,,50,['International']
11895655,Barcelona,$$$$,45,"['Mediterranean', 'European']"
697400,Barcelona,$$ - $$$,40,"['Seafood', 'Mediterranean']"
2416616,Barcelona,$$ - $$$,45,"['Mediterranean', 'European']"
6525662,Barcelona,$$ - $$$,40,"['Bar', 'Mediterranean']"
19851218,Barcelona,$$ - $$$,50,"['Bar', 'Deli']"
8469307,Barcelona,$$ - $$$,45,"['International', 'Spanish']"
23406698,Barcelona,,45,"['Bar', 'International']"
16819233,Barcelona,$,30,"['Bar', 'Spanish']"
13435442,Barcelona,$$ - $$$,50,"['Mediterranean', 'Contemporary']"
23986224,Barcelona,,50,['Japanese']
1080775,Barcelona,$$$$,35,['Mediterranean']
1010742,Barcelona,$$ - $$$,40,"['Mediterranean', 'Spanish']"
15061161,Barcelona,,45,['Japanese']
1890846,Barcelona,$,40,"['Mediterranean', 'Spanish']"
6212838,Barcelona,$$ - $$$,40,"['Spanish', 'Catalan']"
13223325,Barcelona,,50,"['Bar', 'Spanish']"
3813797,Barcelona,$$ - $$$,45,"['Japanese', 'Sushi']"
17560931,Barcelona,$$ - $$$,40,"['Spanish', 'Catalan']"
13144685,Barcelona,,45,"['Peruvian', 'Sushi']"
13951596,Barcelona,$,45,"['Mediterranean', 'Spanish']"
12921972,Barcelona,$$ - $$$,45,['Mediterranean']
23809870,Barcelona,,50,[]
8707438,Barcelona,$,40,"['African', 'Moroccan']"
8731146,Barcelona,$,45,"['Lebanese', 'Mediterranean']"
23522445,Barcelona,,45,[]
8779173,Barcelona,,45,"['Middle Eastern', 'Fast Food']"
